2020-08-16 19:28:55,419, INFO, job: Board Number:1 Operator:
2020-08-16 19:28:55,423, INFO, Starting serial port
2020-08-16 19:28:59,151, INFO, Serial port configuration:
2020-08-16 19:28:59,152, INFO, port opened successfully
2020-08-16 19:28:59,152, INFO, Serial<id=0x2eb2fb8, open=True>(port='COM3', baudrate=115200, bytesize=8, parity='N', stopbits=1, timeout=50, xonxoff=False, rtscts=False, dsrdtr=False)
2020-08-16 19:28:59,653, INFO, 'MESSAGE FROM OVEN'
2020-08-16 19:28:59,653, INFO, 
2020-08-16 19:28:59,654, INFO, Selected profile 2: 4300 63SN/37PB
2020-08-16 19:29:01,741, INFO, user confirmation: y
2020-08-16 19:29:02,743, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,744, INFO, 
2020-08-16 19:29:02,745, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,746, INFO, bake setpoint values: 0, 32, 50
2020-08-16 19:29:02,747, INFO, 
2020-08-16 19:29:02,748, INFO, # Time,  Temp0, Temp1, Temp2, Temp3,  Set,Actual, Heat, Fan,  ColdJ, Mode
2020-08-16 19:29:02,750, INFO, 0.0,   40.0,  41.1,   0.0,   0.0,   50,  40.5,    0, 255,   27.0, REFLOW
2020-08-16 19:29:02,752, INFO, 0.2,   39.6,  41.2,   0.0,   0.0,   50,  40.4,  224,   9,   27.0, REFLOW
2020-08-16 19:29:02,865, INFO, 0.5,   39.1,  41.2,   0.0,   0.0,   50,  40.2,  251,   9,   27.0, REFLOW
2020-08-16 19:29:03,115, INFO, 0.8,   39.2,  41.4,   0.0,   0.0,   50,  40.3,  172,   9,   27.0, REFLOW
2020-08-16 19:29:03,365, INFO, 1.0,   39.4,  41.4,   0.0,   0.0,   50,  40.4,  153,   9,   27.0, REFLOW
2020-08-16 19:29:03,615, INFO, 1.2,   39.4,  41.5,   0.0,   0.0,   50,  40.5,  184,   9,   27.0, REFLOW
2020-08-16 19:29:03,865, INFO, 1.5,   39.4,  41.4,   0.0,   0.0,   50,  40.4,  198,   9,   27.0, REFLOW
2020-08-16 19:29:04,119, INFO, 1.8,   39.8,  41.4,   0.0,   0.0,   50,  40.6,  141,   9,   27.0, REFLOW
2020-08-16 19:29:04,342, INFO, 2.0,   39.8,  41.1,   0.0,   0.0,   50,  40.4,  236,   9,   27.0, REFLOW
2020-08-16 19:29:04,615, INFO, 2.2,   39.4,  41.4,   0.0,   0.0,   50,  40.4,  210,   9,   27.0, REFLOW
2020-08-16 19:29:04,856, INFO, 2.5,   39.4,  41.5,   0.0,   0.0,   50,  40.5,  168,   9,   27.0, REFLOW
2020-08-16 19:29:05,095, INFO, 2.8,   40.1,  41.4,   0.0,   0.0,   50,  40.7,  114,   9,   27.0, REFLOW
2020-08-16 19:29:05,365, INFO, 3.0,   39.9,  41.4,   0.0,   0.0,   50,  40.6,  211,   9,   27.0, REFLOW
2020-08-16 19:29:05,615, INFO, 3.2,   39.5,  41.5,   0.0,   0.0,   50,  40.5,  222,   9,   27.0, REFLOW
2020-08-16 19:29:05,869, INFO, 3.5,   39.4,  41.3,   0.0,   0.0,   50,  40.4,  230,   9,   27.0, REFLOW
